HA Segment_Id	strain	virus	isolate_id	date	region	country	division	location	host	domestic_status
EPI3292998|A/peregrine falcon/Hokkaido/4803Z006/2024	A/peregrine falcon/Hokkaido/4803Z006/2024	avian_flu	EPI_ISL_19139302	2024-03-15	Asia	Japan	Hokkaido	Fukagawa	Falco peregrinus	Wild
EPI2794533|A/peregrine falcon /Sweden/SVA231027SZ0234 /FB004372/U-2023	A/peregrine falcon/Sweden/SVA231027SZ0234/FB004372/U-2023	avian_flu	EPI_ISL_18514426	2023-06-23	Europe	Sweden	Vastmanlands Lan	Vasteras Kommun	Falco peregrinus	Wild
EPI2794523|A/peregrine falcon /Sweden/SVA231017SZ0445/FB004185/U-2023	A/peregrine falcon /Sweden/SVA231017SZ0445/FB004185/U-2023	avian_flu	EPI_ISL_18514139	2023-07-02	Europe	Sweden	Vastmanlands Lan	Kopings Kommun	Falco peregrinus	Wild
EPI2744224|A/peregrine falcon/Sweden/SVA230725SZ0382/FB002504/M-2023	A/peregrine falcon/Sweden/SVA230725SZ0382/FB002504/M-2023	avian_flu	EPI_ISL_18255293	2023-06-06	Europe	Sweden	Skane Lan	Helsingborgs Kommun	Falco peregrinus	Wild
EPI2744216|A/peregrine falcon/Sweden/SVA230808SZ0403/FB002649/E-2023	A/peregrine falcon/Sweden/SVA230808SZ0403/FB002649/E-2023	avian_flu	EPI_ISL_18255288	2023-07-20	Europe	Sweden	Hallands Lan	Kinda Kommun	Falco peregrinus	Wild
EPI2540193|A/Falco_peregrinus/Belgium/01823_0003/2023	A/Falco_peregrinus/Belgium/01823_0003/2023	avian_flu	EPI_ISL_17599455	2023-03-01	Europe	Belgium	Provincie Oost-Vlaanderen	Kluisbergen	Falco peregrinus	Wild
EPI2536766|A/pink-footed_goose/Scotland/047907/2023|HA	A/pink-footed_goose/Scotland/047907/2023	avian_flu	EPI_ISL_17564815	2023-03-28	Europe	United Kingdom	Scotland	NA	Goose	NA
EPI2437547|A/Greylag_Goose/England/175256/2022|HA	A/Greylag_Goose/England/175256/2022	avian_flu	EPI_ISL_17072782	2022-12-26	Europe	United Kingdom	England	NA	Goose	NA
EPI2437358|A/canada_goose/England/121823/2023|HA	A/canada_goose/England/121823/2023	avian_flu	EPI_ISL_17072339	2023-01-30	Europe	United Kingdom	England	NA	Goose	NA
EPI2352706|A/Pink-Footed_Goose/England/120645/2022|HA	A/Pink-Footed_Goose/England/120645/2022	avian_flu	EPI_ISL_16811205	2022-12-29	Europe	United Kingdom	England	NA	Goose	NA
EPI2352681|A/Greylag_Goose/England/120696/2022|HA	A/Greylag_Goose/England/120696/2022	avian_flu	EPI_ISL_16811201	2022-12-30	Europe	United Kingdom	England	NA	Goose	NA
EPI2352633|A/barnacle_goose/Scotland/008625/2023|HA	A/barnacle_goose/Scotland/008625/2023	avian_flu	EPI_ISL_16811195	2023-01-06	Europe	United Kingdom	Scotland	NA	Goose	NA
EPI2352571|A/domestic_goose/England/005770/2023|HA	A/domestic_goose/England/005770/2023	avian_flu	EPI_ISL_16811187	2023-01-09	Europe	United Kingdom	England	NA	Goose	NA
