name	country	country_labeled
PV218257.1	USA	USA
PV218305.1	USA	USA
PV218329.1	USA	USA
PV218337.1	USA	USA
PV218465.1	USA	USA
PV219009.1	USA	USA
PV219041.1	USA	USA
PV219105.1	USA	USA
PV210072.1	Bangladesh	Bangladesh
PP426567.1	Uruguay	Uruguay
PP426575.1	Uruguay	Uruguay
PP426583.1	Uruguay	Uruguay
PV187979.1	Germany	Germany
PV163164.1	Antarctica	Antarctica
PV162175.1	USA	USA
PV162255.1	USA	USA
PV072333.1	USA	USA
PP502509.1	Argentina	Argentina
PV033329.1	"United Kingdom"	United Kingdom
PQ827781.1	USA	USA
PQ831733.1	USA	USA
PQ832573.1	USA	USA
PQ797873.1	USA	USA
PQ701353.1	USA	USA
PQ701641.1	USA	USA
PQ705249.1	USA	USA
PQ706129.1	USA	USA
PQ706545.1	USA	USA
PQ707033.1	USA	USA
PQ711617.1	USA	USA
PQ713585.1	USA	USA
PQ715961.1	USA	USA
PQ716017.1	USA	USA
PQ717465.1	USA	USA
PQ718089.1	USA	USA
PQ718721.1	USA	USA
PQ719169.1	USA	USA
PQ643771.1	Switzerland	Switzerland
PQ500558.1	Argentina	Argentina
PQ500559.1	Argentina	Argentina
PQ500560.1	Argentina	Argentina
PQ500561.1	Argentina	Argentina
PP488313.1	Argentina	Argentina
PP488321.1	Argentina	Argentina
PP488329.1	Argentina	Argentina
PP488337.1	Argentina	Argentina
PP488345.1	Argentina	Argentina
PQ002114.1	Argentina	Argentina
PQ002122.1	Argentina	Argentina
PQ002130.1	Argentina	Argentina
PQ002138.1	Argentina	Argentina
PQ002146.1	Argentina	Argentina
PQ002154.1	Argentina	Argentina
PQ379407.1	USA	USA
PQ338025.1	Chile	Chile
PQ304209.1	Chile	Chile
PQ304221.1	Chile	Chile
PQ304239.1	Chile	Chile
PQ304256.1	Chile	Chile
PQ304273.1	Chile	Chile
PQ304425.1	Chile	Chile
PQ304435.1	Chile	Chile
PQ304440.1	Chile	Chile
PQ304488.1	Chile	Chile
PQ304566.1	Chile	Chile
PQ304584.1	Chile	Chile
PQ305000.1	Chile	Chile
PQ305002.1	Chile	Chile
PQ305010.1	Chile	Chile
PQ305024.1	Chile	Chile
PQ305058.1	Chile	Chile
PQ295907.1	Chile	Chile
PQ300675.1	Chile	Chile
PQ300685.1	Chile	Chile
PQ300698.1	Chile	Chile
PQ300706.1	Chile	Chile
PQ300707.1	Chile	Chile
PQ300721.1	Chile	Chile
PQ300731.1	Chile	Chile
PQ288091.1	USA	USA
PP763699.1	Nigeria	Nigeria
PQ135749.1	USA	USA
PQ129506.1	"South Georgia and the South Sandwich Islands"	South Georgia and the South Sandwich Islands
PQ129514.1	"South Georgia and the South Sandwich Islands"	South Georgia and the South Sandwich Islands
PQ129522.1	"South Georgia and the South Sandwich Islands"	South Georgia and the South Sandwich Islands
PQ113933.1	"South Georgia and the South Sandwich Islands"	South Georgia and the South Sandwich Islands
