name	title	country	host	date
PV242322.1	"Influenza A virus (A/chicken/Germany-NI/2025AI00862/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Germany	"Gallus gallus"	2025-01-28
PV242330.1	"Influenza A virus (A/Barnacle Goose/Germany-NI/2025AI00855/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Germany	"Branta leucopsis"	2025-01-17
PV242338.1	"Influenza A virus (A/swan/Germany-ST/2025AI00861/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Germany	Anatidae	2025-01-24
PV242346.1	"Influenza A virus (A/Barnacle Goose/Germany-NI/2025AI01244/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Germany	"Branta leucopsis"	2025-02-06
PV242354.1	"Influenza A virus (A/wild goose/Germany-BY/2025AI01255/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Germany	"Anser sp."	2025-02-04
PV242362.1	"Influenza A virus (A/chicken/Germany-MV/2025AI01260/2025(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds"	Germany	"Gallus gallus"	2025-02-07
PV242370.1	"Influenza A virus (A/Grey Heron/Germany-ST/2025AI01274/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Germany	"Ardea cinerea"	2025-02-07
PV242378.1	"Influenza A virus (A/Canada Goose/Germany-BY/2025AI01283/2025(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds"	Germany	"Branta canadensis"	2025-02-12
PV242386.1	"Influenza A virus (A/swan/Germany-NW/2025AI00851/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Germany	Anatidae	2025-01-18
PP348220.1	"Influenza A virus (A/Whooper_Swan/South Korea/segment4/2023(H5N6)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Korea"		2023-12-22
PP410101.1	"Influenza A virus (A/Geese/Egypt/MN3/2022(H5N8)) segment 4 hemagglutinin (HA) gene, partial cds"	Egypt	Anser	2022-06-XX
PP410102.1	"Influenza A virus (A/Geese/Egypt/MN4/2022(H5N8)) segment 4 hemagglutinin (HA) gene, partial cds"	Egypt	Anser	2022-06-XX
PP410104.1	"Influenza A virus (A/Duck/Egypt/MN6/2022(H5N8)) segment 4 hemagglutinin (HA) gene, partial cds"	Egypt	Anatidae	2022-08-XX
PP348169.1	"Influenza A virus (A/Whooper_Swan/South Korea/segment4/2023(H5N6)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Korea"		2023-12-08
PV212105.1	"Influenza A virus (A/Duck/Bangladesh/CE-111-06-DB-10-DU-O/2023(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds"	Bangladesh	"Anas platyrhynchos"	2023-01-31
PV212263.1	"Influenza A virus (A/Duck/Bangladesh/CE-111-06-DB-15-DU-O/2023(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds"	Bangladesh	"Anas platyrhynchos"	2023-01-31
PV212679.1	"Influenza A virus (A/Duck/PA/23-006268-002-original/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	Anatidae	2023-02-22
PV218193.1	"Influenza A virus (A/Bald Eagle/IA/25-001479-001-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Haliaeetus leucocephalus"	2025-XX-XX
PV218305.1	"Influenza A virus (A/Flamingo/IL/25-001100-001-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Phoenicopterus roseus"	2025-XX-XX
PV218369.1	"Influenza A virus (A/Turkey/MN/25-001440-001-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Meleagris gallopavo"	2025-XX-XX
PV218505.1	"Influenza A virus (A/Turkey/OH/25-001338-002-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Meleagris gallopavo"	2025-XX-XX
PV218545.1	"Influenza A virus (A/Wood Duck/IL/25-001096-001-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Aix sponsa"	2025-XX-XX
PV219161.1	"Influenza A virus (A/goose/IL/25-001560-004-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	Anatidae	2025-XX-XX
PV209775.1	"Influenza A virus (A/Duck/Bangladesh/CE-111-05-DA-05-DU-O/2022(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds"	Bangladesh	"Anas platyrhynchos"	2022-11-28
PV210090.1	"Influenza A virus (A/Duck/Bangladesh/CE-111-05-DA-02-DU-O/2022(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds"	Bangladesh	"Anas platyrhynchos"	2022-11-28
PP340458.1	"Influenza A virus (A/duck/India/11CA04/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	India	Anatidae	2022-10-20
PP348118.1	"Influenza A virus (A/Bean_goose/South Korea/segment4/2023(H5N6)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Korea"	"Anser fabalis"	2023-12-21
PP426567.1	"Influenza A virus (A/Nasua nasua/Uruguay/145M1/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Uruguay	"Nasua nasua"	2023-05-04
PP426575.1	"Influenza A virus (A/Nasua nasua/Uruguay/145M2/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Uruguay	"Nasua nasua"	2023-05-04
PP426583.1	"Influenza A virus (A/Nasua nasua/Uruguay/146M1/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Uruguay	"Nasua nasua"	2023-05-05
PV187759.1	"Influenza A virus (A/domestic duck/Germany-MV/2024AI05018/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Germany	"Anas platyrhynchos"	2024-11-25
PV187791.1	"Influenza A virus (A/Great Black-backed Gull/Germany-SH/2024AI05060/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Germany	"Larus marinus"	2024-11-26
PV187835.1	"Influenza A virus (A/chicken/Germany-BW/2024AI05148/2024(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds"	Germany	"Gallus gallus"	2024-12-16
PV187883.1	"Influenza A virus (A/Mute Swan/Germany-SH/2025AI00022/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Germany	"Cygnus olor"	2024-12-12
PV187891.1	"Influenza A virus (A/chicken/Germany-SH/2025AI00031/2025(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds"	Germany	"Gallus gallus"	2025-01-06
PV187907.1	"Influenza A virus (A/turkey/Germany-NI/2025AI00175/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Germany	"Meleagris gallopavo"	2025-01-11
PV187915.1	"Influenza A virus (A/Barnacle Goose/Germany-NI/2024AI05053/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Germany	"Branta leucopsis"	2024-12-03
PV187955.1	"Influenza A virus (A/White Stork/Germany-BY/2025AI00446/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Germany	"Ciconia ciconia"	2025-01-14
PV187979.1	"Influenza A virus (A/turkey/Germany-BW/2025AI00222/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Germany	"Meleagris gallopavo"	2025-01-12
PV188011.1	"Influenza A virus (A/turkey/Germany-NI/2024AI05108/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Germany	"Meleagris gallopavo"	2024-12-10
PV163093.1	"Influenza A virus (A/Duck/Egypt/f76/2023(H5N8)) segment 4 hemagglutinin (HA) gene, partial cds"	Egypt	Anatidae	2023-01-22
PV163164.1	"Influenza A virus (A/Brown skua/Torgersen Island/o81-b82/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Antarctica	"Stercorarius lonnbergi"	2024-12-XX
PV159623.1	"Influenza A virus (A/Guineafowl/SD/25-000286-001-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Numididae sp."	2025-01-03
PV159855.1	"Influenza A virus (A/Turkey/IN/25-000295-001-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Meleagris gallopavo"	2025-01-03
PV159871.1	"Influenza A virus (A/Turkey/IN/25-000295-003-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Meleagris gallopavo"	2025-01-03
PV160615.1	"Influenza A virus (A/cattle/CA/24-033984-002-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Bos taurus"	2024-11-13
PV161919.1	"Influenza A virus (A/chicken/DE/25-000536-001-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Gallus gallus"	2025-01-07
PV161943.1	"Influenza A virus (A/chicken/DE/25-000537-002-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Gallus gallus"	2025-01-08
PV161959.1	"Influenza A virus (A/chicken/FL/25-000345-002-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Gallus gallus"	2025-01-02
PV161967.1	"Influenza A virus (A/chicken/GA/25-000538-001-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Gallus gallus"	2025-01-06
PV162191.1	"Influenza A virus (A/chicken/NC/25-000300-002-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Gallus gallus"	2025-01-06
PV124886.1	"Influenza A virus (A/dairy cattle/Hong Kong/RG-DelNS1-p1/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"Hong Kong"		2024-05-XX
PV124894.1	"Influenza A virus (A/dairy cattle/Hong Kong/RG-DelNS1-p10/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"Hong Kong"		2024-05-XX
PV124974.1	"Influenza A virus (A/mink/Hong Kong/RG-DelNS1-p1/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"Hong Kong"	"Mustela lutreola"	2024-05-XX
PV124994.1	"Influenza A virus (A/mink/Hong Kong/RG-DelNS1-p10/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"Hong Kong"	"Mustela lutreola"	2024-05-XX
PV125347.1	"Influenza A virus (A/chicken/Egypt/RLQP-1-2025/2025(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds"	Egypt	"Gallus gallus"	2025-01-22
PV112112.1	"Influenza A virus (A/Larus michahellis/Triboltingen/V0433/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Switzerland	"Larus michahellis"	2024-12-06
PV112113.1	"Influenza A virus (A/Larus michahellis/Schaffhausen/V0455/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Switzerland	"Larus michahellis"	2024-12-28
PV112122.1	"Influenza A virus (A/Cygnus olor/Bruegg/V0004/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Switzerland	"Cygnus olor"	2025-01-05
PV112130.1	"Influenza A virus (A/Larus argentatus/Ermatingen/V0010/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Switzerland	"Larus argentatus"	2025-01-01
PV112138.1	"Influenza A virus (A/Larus argentatus/Muensterlingen/V0011/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Switzerland	"Larus argentatus"	2025-01-07
PV094493.1	"Influenza A virus (A/Duck/Bangladesh/CE-115-02-01-03-Du-O/2021(H5Nx)) segment 4 hemagglutinin (HA) gene, partial cds"	Bangladesh	"Anas platyrhynchos"	2021-12-27
PV078494.1	"Influenza A virus (A/Mallard/Alberta/36/2024(H5N5)) clone H5 segment 4 hemagglutinin (HA) gene, complete cds"	Canada	"Anas platyrhynchos"	2024-08-14
