name	country	date
cov4496	Peru	2023-05-11
cov4479	Peru	2023-03-10
cov4404	Peru	2023-02-20
cov4495	Peru	2023-04-14
cov4486	Peru	2023-03-02
cov4445	Peru	2023-02-23
cov4425	Peru	2023-02-20
cov4411	Peru	2023-02-20
cov4418	Peru	2023-02-20
cov4488	Peru	2023-03-03
cov4448	Peru	2023-02-20
cov4489	Peru	2023-03-03
cov4422	Peru	2023-02-20
cov4410	Peru	2023-02-20
cov4464	Peru	2022-12-10
cov4424	Peru	2023-02-20
cov4485	Peru	2023-03-02
cov4401	Peru	2023-02-20
cov4415	Peru	2023-02-20
cov4402	Peru	2023-02-20
cov4484	Peru	2023-03-01
cov4487	Peru	2023-03-02
cov4483	Peru	2023-03-01
cov4409	Peru	2023-02-20
cov4449	Peru	2022-12-16
cov4389	Peru	2022-12-12
cov4386	Peru	2022-12-10
cov4437	Peru	2022-12-11
cov4399	Peru	2022-12-10
cov4388	Peru	2022-12-11
cov4433	Peru	2022-12-11
cov4474	Peru	2023-03-11
cov4414	Peru	2023-02-20
cov4420	Peru	2023-02-20
cov4406	Peru	2023-02-20
cov4491	Peru	2023-03-01
cov4493	Peru	2023-04-13
cov4393	Peru	2022-12-10
cov4482	Peru	2023-03-01
cov4478	Peru	2023-03-06
cov4475	Peru	2023-02-22
cov4471	Peru	2023-02-28
cov4373	Peru	2022-12-16
cov4441	Peru	2022-12-11
cov4416	Peru	2023-02-20
cov4419	Peru	2023-02-20
cov4380	Peru	2022-12-10
cov4438	Peru	2022-12-10
cov4417	Peru	2023-02-20
cov4494	Peru	2023-04-14
cov4490	Peru	2023-03-11
cov4492	Peru	2023-03-02
cov4385	Peru	2022-12-10
