name	title	country	host	date
PV267416.1	Influenza A virus (A/American black duck/Tennessee/141/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Anas rubripes	2024-11-21
PV267728.1	Influenza A virus (A/wood duck/Kansas/W24-1068B/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Aix sponsa	2024-12-16
PV242322.1	Influenza A virus (A/chicken/Germany-NI/2025AI00862/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Germany	Gallus gallus	2025-01-28
PV242330.1	Influenza A virus (A/Barnacle Goose/Germany-NI/2025AI00855/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Germany	Branta leucopsis	2025-01-17
PV242338.1	Influenza A virus (A/swan/Germany-ST/2025AI00861/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Germany	Anatidae	2025-01-24
PV242346.1	Influenza A virus (A/Barnacle Goose/Germany-NI/2025AI01244/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Germany	Branta leucopsis	2025-02-06
PV242354.1	Influenza A virus (A/wild goose/Germany-BY/2025AI01255/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Germany	Anser sp.	2025-02-04
PV242362.1	Influenza A virus (A/chicken/Germany-MV/2025AI01260/2025(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Germany	Gallus gallus	2025-02-07
PV242370.1	Influenza A virus (A/Grey Heron/Germany-ST/2025AI01274/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Germany	Ardea cinerea	2025-02-07
PV242378.1	Influenza A virus (A/Canada Goose/Germany-BY/2025AI01283/2025(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Germany	Branta canadensis	2025-02-12
PV242386.1	Influenza A virus (A/swan/Germany-NW/2025AI00851/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Germany	Anatidae	2025-01-18
PP348220.1	Influenza A virus (A/Whooper_Swan/South Korea/segment4/2023(H5N6)) segment 4 hemagglutinin (HA) gene, complete cds	South Korea		2023-12-22
PP410100.1	Influenza A virus (A/Duck/Egypt/MN2/2018(H5N8)) segment 4 hemagglutinin (HA) gene, partial cds	Egypt	Anatidae	2018-04-XX
PP410101.1	Influenza A virus (A/Geese/Egypt/MN3/2022(H5N8)) segment 4 hemagglutinin (HA) gene, partial cds	Egypt	Anser	2022-06-XX
PP410103.1	Influenza A virus (A/Duck/Egypt/MN5/2022(H5N8)) segment 4 hemagglutinin (HA) gene, partial cds	Egypt	Anatidae	2022-08-XX
PP348169.1	Influenza A virus (A/Whooper_Swan/South Korea/segment4/2023(H5N6)) segment 4 hemagglutinin (HA) gene, complete cds	South Korea		2023-12-08
PV212126.1	Influenza A virus (A/Duck/Bangladesh/CE-115-04-DA-02-DU-O/2022(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Bangladesh	Anas platyrhynchos	2022-09-15
PV212227.1	Influenza A virus (A/Duck/Bangladesh/CE-111-04-DA-06-DU-O/2022(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Bangladesh	Anas platyrhynchos	2022-09-17
PV212240.1	Influenza A virus (A/Duck/Bangladesh/CE-115-05-DA-04-DU-C/2022(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Bangladesh	Anas platyrhynchos	2022-11-26
PV212263.1	Influenza A virus (A/Duck/Bangladesh/CE-111-06-DB-15-DU-O/2023(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Bangladesh	Anas platyrhynchos	2023-01-31
PV212320.1	Influenza A virus (A/Duck/Bangladesh/CE-116-06-DA-05-DU-O/2023(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Bangladesh	Anas platyrhynchos	2023-01-30
PV212575.1	Influenza A virus (A/Duck/PA/23-005844-004-original/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Anatidae	2023-02-20
PV212735.1	Influenza A virus (A/Duck/PA/23-006269-006-original/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Anatidae	2023-02-23
