name	title	country	host	date
PV242322.1	Influenza A virus (A/chicken/Germany-NI/2025AI00862/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Germany	Gallus gallus	2025-01-28
PV242330.1	Influenza A virus (A/Barnacle Goose/Germany-NI/2025AI00855/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Germany	Branta leucopsis	2025-01-17
PV242338.1	Influenza A virus (A/swan/Germany-ST/2025AI00861/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Germany	Anatidae	2025-01-24
PV242346.1	Influenza A virus (A/Barnacle Goose/Germany-NI/2025AI01244/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Germany	Branta leucopsis	2025-02-06
PV242354.1	Influenza A virus (A/wild goose/Germany-BY/2025AI01255/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Germany	Anser sp.	2025-02-04
PV242362.1	Influenza A virus (A/chicken/Germany-MV/2025AI01260/2025(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Germany	Gallus gallus	2025-02-07
PV242370.1	Influenza A virus (A/Grey Heron/Germany-ST/2025AI01274/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Germany	Ardea cinerea	2025-02-07
PV242378.1	Influenza A virus (A/Canada Goose/Germany-BY/2025AI01283/2025(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Germany	Branta canadensis	2025-02-12
PV242386.1	Influenza A virus (A/swan/Germany-NW/2025AI00851/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Germany	Anatidae	2025-01-18
PP348220.1	Influenza A virus (A/Whooper_Swan/South Korea/segment4/2023(H5N6)) segment 4 hemagglutinin (HA) gene, complete cds	South Korea		2023-12-22
PP410100.1	Influenza A virus (A/Duck/Egypt/MN2/2018(H5N8)) segment 4 hemagglutinin (HA) gene, partial cds	Egypt	Anatidae	2018-04-XX
PP410104.1	Influenza A virus (A/Duck/Egypt/MN6/2022(H5N8)) segment 4 hemagglutinin (HA) gene, partial cds	Egypt	Anatidae	2022-08-XX
PP348169.1	Influenza A virus (A/Whooper_Swan/South Korea/segment4/2023(H5N6)) segment 4 hemagglutinin (HA) gene, complete cds	South Korea		2023-12-08
PV212126.1	Influenza A virus (A/Duck/Bangladesh/CE-115-04-DA-02-DU-O/2022(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Bangladesh	Anas platyrhynchos	2022-09-15
PV212227.1	Influenza A virus (A/Duck/Bangladesh/CE-111-04-DA-06-DU-O/2022(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Bangladesh	Anas platyrhynchos	2022-09-17
PV212327.1	Influenza A virus (A/Duck/Bangladesh/CE-116-04-DA-05-DU-O/2022(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Bangladesh	Anas platyrhynchos	2022-09-19
PV212583.1	Influenza A virus (A/Duck/PA/23-005844-005-original/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Anatidae	2023-02-20
PV212751.1	Influenza A virus (A/Duck/PA/23-006269-008-original/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Anatidae	2023-02-23
PV212855.1	Influenza A virus (A/Duck/PA/23-007193-006-original/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Anatidae	2023-03-01
PV214239.1	Influenza A virus (A/Turkey/MI/24-038978-001-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Meleagris gallopavo	2024-12-27
PV214631.1	Influenza A virus (A/cattle/CA/24-031326-001-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Bos taurus	2024-10-15
PV214975.1	Influenza A virus (A/cattle/CA/24-033995-003-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Bos taurus	2024-11-11
PV215639.1	Influenza A virus (A/cattle/CA/24-037162-001-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Bos taurus	2024-12-09
PV218265.1	Influenza A virus (A/Canada Goose/IL/25-000616-010-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Branta canadensis	2025-XX-XX
PV218289.1	Influenza A virus (A/Duck/IL/25-000617-002-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Anatidae	2025-XX-XX
PV218329.1	Influenza A virus (A/Guineafowl/TN/25-001531-002-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Numididae sp.	2025-XX-XX
PV218393.1	Influenza A virus (A/Turkey/OH/25-001057-001-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Meleagris gallopavo	2025-XX-XX
PV218401.1	Influenza A virus (A/Turkey/OH/25-001057-002-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Meleagris gallopavo	2025-XX-XX
PV218409.1	Influenza A virus (A/Turkey/OH/25-001057-003-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Meleagris gallopavo	2025-XX-XX
PV218425.1	Influenza A virus (A/Turkey/OH/25-001328-001-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Meleagris gallopavo	2025-XX-XX
PV218465.1	Influenza A virus (A/Turkey/OH/25-001329-003-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Meleagris gallopavo	2025-XX-XX
PV218545.1	Influenza A virus (A/Wood Duck/IL/25-001096-001-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Aix sponsa	2025-XX-XX
PV218553.1	Influenza A virus (A/cat/CA/25-001350-001-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Felis catus	2025-XX-XX
PV218577.1	Influenza A virus (A/cattle/CA/24-029618-002-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Bos taurus	2024-XX-XX
PV219009.1	Influenza A virus (A/chicken/FL/25-001073-003-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Gallus gallus	2025-XX-XX
PV219049.1	Influenza A virus (A/chicken/KS/25-000969-001-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Gallus gallus	2025-XX-XX
PV209706.1	Influenza A virus (A/Duck/Bangladesh/CE-116-04-DA-06-DU-O/2022(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Bangladesh	Anas platyrhynchos	2022-09-19
PV209775.1	Influenza A virus (A/Duck/Bangladesh/CE-111-05-DA-05-DU-O/2022(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Bangladesh	Anas platyrhynchos	2022-11-28
PP340458.1	Influenza A virus (A/duck/India/11CA04/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	India	Anatidae	2022-10-20
PP348118.1	Influenza A virus (A/Bean_goose/South Korea/segment4/2023(H5N6)) segment 4 hemagglutinin (HA) gene, complete cds	South Korea	Anser fabalis	2023-12-21
PP426575.1	Influenza A virus (A/Nasua nasua/Uruguay/145M2/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Uruguay	Nasua nasua	2023-05-04
PP426583.1	Influenza A virus (A/Nasua nasua/Uruguay/146M1/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Uruguay	Nasua nasua	2023-05-05
PV187807.1	Influenza A virus (A/Pink-footed Goose/Germany-NI/2024AI05112/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Germany	Anser brachyrhynchus	2024-12-02
PV187812.1	Influenza A virus (A/swan/Germany-BW/2024AI05114/2024(H5N1)) segment 4 hemagglutinin, HA2 region, (HA) gene, partial cds	Germany	Anatidae	2024-12-09
PV187859.1	Influenza A virus (A/Mandarin Duck/Germany-BY/2024AI05159/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Germany	Aix galericulata	2024-12-27
PV187867.1	Influenza A virus (A/turkey/Germany-MV/2025AI00004/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Germany	Meleagris gallopavo	2024-12-31
PV187883.1	Influenza A virus (A/Mute Swan/Germany-SH/2025AI00022/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Germany	Cygnus olor	2024-12-12
PV187891.1	Influenza A virus (A/chicken/Germany-SH/2025AI00031/2025(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds	Germany	Gallus gallus	2025-01-06
PV187899.1	Influenza A virus (A/Eurasian Wigeon/Germany-SH/2025AI00038/2025(H5N1)) segment 4 hemagglutinin, HA2 region, (HA) gene, partial cds	Germany	Mareca penelope	2025-01-02
PV187907.1	Influenza A virus (A/turkey/Germany-NI/2025AI00175/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Germany	Meleagris gallopavo	2025-01-11
PV187939.1	Influenza A virus (A/Indian Peafowl/Germany-BY/2024AI05162/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Germany	Pavo cristatus	2024-12-27
PV187955.1	Influenza A virus (A/White Stork/Germany-BY/2025AI00446/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Germany	Ciconia ciconia	2025-01-14
PV187979.1	Influenza A virus (A/turkey/Germany-BW/2025AI00222/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Germany	Meleagris gallopavo	2025-01-12
PV187987.1	Influenza A virus (A/turkey/Germany-BY/2024AI05169/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Germany	Meleagris gallopavo	2024-12-23
PV187995.1	Influenza A virus (A/turkey/Germany-NI/2024AI05038/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Germany	Meleagris gallopavo	2024-11-28
PV188011.1	Influenza A virus (A/turkey/Germany-NI/2024AI05108/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Germany	Meleagris gallopavo	2024-12-10
PV163164.1	Influenza A virus (A/Brown skua/Torgersen Island/o81-b82/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Antarctica	Stercorarius lonnbergi	2024-12-XX
PV159855.1	Influenza A virus (A/Turkey/IN/25-000295-001-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Meleagris gallopavo	2025-01-03
PV160263.1	Influenza A virus (A/cattle/CA/24-029903-001-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Bos taurus	2024-10-08
PV161135.1	Influenza A virus (A/cattle/CA/24-035200-002-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Bos taurus	2024-11-20
PV161919.1	Influenza A virus (A/chicken/DE/25-000536-001-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Gallus gallus	2025-01-07
PV161975.1	Influenza A virus (A/chicken/IA/25-000282-001-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Gallus gallus	2025-01-03
PV162031.1	Influenza A virus (A/chicken/ID/25-000539-001-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Gallus gallus	2025-01-06
PV162191.1	Influenza A virus (A/chicken/NC/25-000300-002-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	USA	Gallus gallus	2025-01-06
PV124886.1	Influenza A virus (A/dairy cattle/Hong Kong/RG-DelNS1-p1/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Hong Kong		2024-05-XX
PV124894.1	Influenza A virus (A/dairy cattle/Hong Kong/RG-DelNS1-p10/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds	Hong Kong		2024-05-XX
